Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,Country-year,gdp_per_capita ($),Generation
1,13.0,0.0,3.0,0,8183,0.0,33.0,10078,4
1,13.0,0.0,4.0,0,3921,0.0,33.0,10078,5
1,13.0,0.0,5.0,0,1476,0.0,33.0,10078,1
1,13.0,1.0,0.0,0,5916,0.0,33.0,10078,2
1,13.0,1.0,1.0,0,7294,0.0,33.0,10078,2
1,13.0,1.0,2.0,0,9086,0.0,33.0,10078,0
1,13.0,1.0,3.0,0,7706,0.0,33.0,10078,4
1,13.0,1.0,4.0,0,3213,0.0,33.0,10078,5
1,13.0,1.0,5.0,0,954,0.0,33.0,10078,1
1,14.0,0.0,0.0,0,6589,0.0,34.0,10378,2
1,14.0,0.0,1.0,0,8526,0.0,34.0,10378,2
1,14.0,0.0,2.0,0,10311,0.0,34.0,10378,0
1,14.0,0.0,3.0,0,8314,0.0,34.0,10378,4
1,14.0,0.0,4.0,0,3968,0.0,34.0,10378,5
1,14.0,0.0,5.0,0,1451,0.0,34.0,10378,1
1,14.0,1.0,0.0,0,5845,0.0,34.0,10378,2
1,14.0,1.0,1.0,0,7263,0.0,34.0,10378,2
1,14.0,1.0,2.0,0,9537,0.0,34.0,10378,0
1,14.0,1.0,3.0,0,7805,0.0,34.0,10378,4
1,14.0,1.0,4.0,0,3276,0.0,34.0,10378,5
1,14.0,1.0,5.0,0,947,0.0,34.0,10378,1
1,15.0,1.0,4.0,1,3333,30.0,35.0,11021,5
1,15.0,1.0,2.0,1,10033,9.97,35.0,11021,0
1,15.0,0.0,0.0,0,6616,0.0,35.0,11021,2
1,15.0,0.0,1.0,0,8595,0.0,35.0,11021,2
1,15.0,0.0,2.0,0,11040,0.0,35.0,11021,0
1,15.0,0.0,3.0,0,8439,0.0,35.0,11021,4
1,15.0,0.0,4.0,0,3986,0.0,35.0,11021,5
1,15.0,0.0,5.0,0,1413,0.0,35.0,11021,1
1,15.0,1.0,0.0,0,5783,0.0,35.0,11021,2
1,15.0,1.0,1.0,0,7177,0.0,35.0,11021,2
1,15.0,1.0,3.0,0,7973,0.0,35.0,11021,4
